Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
show me more.;"<p> I would love to talk to you. Ask me a few questions. I can try to improve your mood with some jokes &#129313;. I’m not all-knowing and might have to refer you to my big brother Google for complicated questions. But I will try my best. </p> <p> Now have fun with the Evaluation! </p> <p> PS: I would also love to receive some feedback from you! &#128515; </p> <button class=""chatSuggest"" onclick=""chatSuggest('Get me in!');"">Cool, get me in!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
Introduction;"<p>Hey, I’m Eva the Evaluation Bot. I will ask you some questions and will guide you through the course evaluation of the course 'Course Name'. </p> <p> You can talk to me by typing in your message into the textfield or click one of my suggestions. If for some reason you don’t have an answer to a question you can skip the question at any time, by clicking on the skip button below or ask me to skip it. </p> <button class=""chatSuggest"" onclick=""chatSuggest('Show me more.');"">Show me more!</button>"
show me more.;"<p> I would love to talk to you. Ask me a few questions. I can try to improve your mood with some jokes &#129313;. I’m not all-knowing and might have to refer you to my big brother Google for complicated questions. But I will try my best. </p> <p> Now have fun with the Evaluation! </p> <p> PS: I would also love to receive some feedback from you! &#128515; </p> <button class=""chatSuggest"" onclick=""chatSuggest('Get me in!');"">Cool, get me in!</button>"
get me in!;"<p>Before we start, please read the declaration of consent carefully. </p> <button class=""chatSuggest"" onclick=""showPrivacy();"">Show me please.</button>"
i have read the declaration of consent and accept it.;"<p> Thank you and hello again to the evaluation. </p> <p> First I would like to ask you some short questions concerning the lecture content and the lecture style. After that you are welcome to provide some written feedback. In the end you can decide whether you want to receive the total evaluation results by e-mail. </p> <p> Please provide honest and direct answers. Both are very important for the improvement of your lecturer and the course quality. Are you ready to finally start now? </p> <button class=""chatSuggest"" onclick=""chatSuggest('Lets start the evaluation.');"">Yes, let’s start the Evaluation!</button>"
Course structure;"<p> Nice. </p> <p> Please rate the following statement from 1-5 points, with 5 points as highest score. </p> <p> The course content has a good structure so that I was able to understand it easily. </p> <button class=""chatSuggest"" onclick=""chatSuggest('1 point');"">1</button> <button class=""chatSuggest"" onclick=""chatSuggest('2 points');"">2</button> <button class=""chatSuggest"" onclick=""chatSuggest('3 points');"">3</button> <button class=""chatSuggest"" onclick=""chatSuggest('4 points');"">4</button> <button class=""chatSuggest"" onclick=""chatSuggest('5 points');"">5</button>"
