Human Says:,ChatBot Says:;;;;;;;;;;
What time is it?, getTIME;;;;;;;;;;
Can you tell me the time?,getTIME;;;;;;;;;;
Do you know what time it is?,getTIME;;;;;;;;;;
What day is it?,getTIME;;;;;;;;;;
Date,getTIME;;;;;;;;;;
Time,getDATE;;;;;;;;;;
"Introduction,Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=\""chatSuggest\"" onclick=\""$(this).hide(); chatSuggest('Get me in')\"";>Get me in!</a>";;;;;;;;;;
"Get me in,I have read the privacy policy. I agree that my anonymized data can be used for scientific purposes. I am aware that I can revoke my consent at any time. <br> <a class=\""chatSuggest\"" onclick=\""$(this).hide(); chatSuggest('Accept')\"";>I accept the Declaration of Consent</a>";;;;;;;;;;
"Accept,Hello Again. <br> Are you ready to start now? <br> <a class=\""chatSuggest\"" onclick=\""$(this).hide(); chatSuggest('Start')\"";>Yes, please start.</a>";;;;;;;;;;
"IDKnull,""Thank you very much, you're doing well!<br> Please select one of the unanswered feedback questions from above. <br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('No, please skip to the end')""""";">Please skip to the end. There is nothing more to say.</a><br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('I have answered all further Questions')""""";">Please skip to the end. There is nothing more to say.</a>""";;;;;;
Nothing,Could you please try again?;;;;;;;;;;
"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=\""chatSuggest\"" onclick=\""$(this).hide(); chatSuggest('Get me in')\"";>Get me in!</a> onclick=""""$(this).hide()";" chatSuggest('Yes')""""";">Yes</a> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('No')""""";">No</a>""";;;;;;
"Yes,""First, I will ask you 5 questions concerning the lecture content and the lecture style. After that you will be directed to a post-survey. Please provide honest and direct answers and complete both questioners. They are both very important for the course quality improvement for Prof. Dr. Leimeister.<br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Start')""""";">Start</a><br>""";;;;;;;;
"No,""I'm okay with that. Please just type """"Yes"""" to start.""";;;;;;;;;;
"Start,""Here we Go! <br> Please rate the course from 1-5 points. <br><br>A : I can benefit from the content of the course<br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question A  1 point')""""";">1</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question A  2 points')""""";">2</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question A  3 points')""""";">3</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question A  4 points')""""";">4</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question A  5 points')""""";">5</a>"""
"Question A  1 point,""Alright! <br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Continue')""""";">Continue</a><br>""";;;;;;;;
"Question A  2 points,""Alright! <br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Continue')""""";">Continue</a><br>""";;;;;;;;
"Question A  3 points,""Alright! <br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Continue')""""";">Continue</a><br>""";;;;;;;;
"Question A  4 points,""Alright! <br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Continue')""""";">Continue</a><br>""";;;;;;;;
"Question A  5 points,""Alright! <br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Continue')""""";">Continue</a><br>""";;;;;;;;
"Continue,""The lecturer was able to transfer the learning content according to my expectations.<br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question B  1 point')""""";">1</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question B  2 points')""""";">2</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question B  3 points')""""";">3</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question B  4 points')""""";">4</a><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('Question B  5 points')""""";">5</a>"""
"Question B  1 point,""Thank you for your Input. We would like to have some written Feedback of you. For that reason please select one or more Topics you would like to comment on.<br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('I can tell you some things that were good: ')""""";">Which course elements have contributed to your learning success in a positive way?</a><br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('I would like to tell you some points that should be changed!')""""";">Which aspects of the course should be changed so that students benefit more from the course?</a><br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('I have some more Feedback for you')""""";">Are there any other points you would like to comment on?</a><br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('No, please skip to the end')""""";">Please skip to the end. There is nothing more to say.</a>""";;
"Question B  2 points,""Thank you for your Input. We would like to have some written Feedback of you. For that reason please select one or more Topics you would like to comment on.<br> <a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('I can tell you some things that were good: ')""""";">Which course elements have contributed to your learning success in a positive way?</a><br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('I would like to tell you some points that should be changed!')""""";">Which aspects of the course should be changed so that students benefit more from the course?</a><br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('I have some more Feedback for you')""""";">Are there any other points you would like to comment on?</a><br><a class=""""chatSuggest"""" onclick=""""$(this).hide()";" chatSuggest('No, please skip to the end')""""";">Please skip to the end. There is nothing more to say.</a>""";;
